,Author,Level Name,Difficulty,Ratings,Size (MBs),Downloads,Release Date
1966,EssGee,Star Wars - Episode 1 (Director's Cut),challenging,9.58,63,3583,15-Feb-2006
1967,Snap125,The Stone of Perseus,,8.26,125,3085,13-Feb-2006
1968,uvavoo,Planet of the Ancients 3 - The Scrolls of Time,medium,9.69,106,3442,07-Feb-2006
1969,Rezaffiro,The Door for the Paradise 4 - The Paradise,,7.40,49,1614,04-Feb-2006
1970,Boris Samoilenko,Lara Croft Returns - Episode 2: In Search of the Duplicates,,8.44,222,4562,02-Feb-2006
1971,Matlin,End of Lara Croft,,0.36,14,1794,31-Jan-2006
1972,eRIC,Journey in Togarma,challenging,9.43,51,2627,31-Jan-2006
1973,Tombcool,Purgatory,,7.77,148,3337,23-Jan-2006
1974,Tony Tomb,Passage to Mu 4,challenging,9.56,124,3593,23-Jan-2006
1975,Stasand,Magic Artefact,,7.42,160,3113,22-Jan-2006
1976,Lukasz Croft,VC in Paris,,5.05,22,1538,22-Jan-2006
1977,Lukasz Croft,Mysteriousness,,6.21,41,1780,22-Jan-2006
1978,ImmortalC,Ice Hotel,,6.13,15,1247,22-Jan-2006
1979,Bag,Sophia's Base,,6.03,24,1428,21-Jan-2006
1980,Channing Chang,The Dead Empire - Part 1,,7.07,21,1326,19-Jan-2006
1981,TC14,The Quest of Gold 8 - Mystic Experience,very challenging,9.07,267,4585,16-Jan-2006
1982,caj800,The Crisis 1 - Hidden Base,,3.41,22,1254,15-Jan-2006
1983,Lukasz Croft,Hunting on Enemy,,4.49,27,1449,12-Jan-2006
1984,QRS,Egypt and Beyond,challenging,9.30,104,3676,11-Jan-2006
1985,Cloudbusting,Jungle Escapade,easy,1.25,17,1324,10-Jan-2006
1986,David Rukawa,A Travel in Time,,6.46,59,2281,04-Jan-2006
1987,Artefactor,Celtic,very challenging,7.79,21,1471,04-Jan-2006
1988,Lukasz Croft,Expedition for Amulet of Horus,,6.14,26,1479,02-Jan-2006
1989,Sweet,BtB2006 - Cursed Temple,medium,8.53,35,1711,01-Jan-2006
1990,MichaelP,BtB2006 - Teahouse,challenging,8.98,36,2521,01-Jan-2006
1991,userpaul,BtB2006 - Temple of the Five Elements,medium,7.19,42,1621,01-Jan-2006
1992,Ruediger,BtB2006 - Nintai,medium,7.00,37,1460,01-Jan-2006
1993,diamond,BtB2006 - Cloud of Sparrows,challenging,7.36,36,1441,01-Jan-2006
1994,Loch,BtB2006 - The Killing Fields,challenging,9.11,45,2761,01-Jan-2006
