,Author,Level Name,Difficulty,Ratings,Size (MBs),Downloads,Release Date
0,alan,The M16 Curse,medium,6.19,53,300,22-Sep-2022
1,Sabatu,Sabatu's Tomb Raider 4 (Demo),medium,8.54,42,622,01-Sep-2022
2,TombExplorer,Siberian Expedition,medium,9.61,307,758,30-Aug-2022
3,trtimes,Temple of Thoth,easy,7.90,73,505,29-Aug-2022
4,Sabatu,Aperama Competition - City of Khamoon,challenging,9.30,136,454,27-Aug-2022
5,Neltharion,Ex Oblivione (Demo),medium,7.56,69,514,21-Aug-2022
6,cumulonimbus48,The Guardian of the Talion returns,medium,7.34,145,590,19-Aug-2022
7,Feder,Oasis,medium,9.39,167,899,13-Aug-2022
8,Kubsy,The Abandoned Library,medium,9.13,88,498,13-Aug-2022
9,Igor Gois,Cultist's Secret - Level 01 (Demo),medium,7.86,110,412,13-Aug-2022
10,Denny,Mystery of the Sunken Submarines,medium,7.64,101,474,06-Aug-2022
11,Denny,Wreck of the Maria Doria,challenging,8.75,249,598,06-Aug-2022
12,ddaring_dash,In the Dark of the Night - Prologue,very challenging,5.20,135,527,02-Aug-2022
13,The Eye of Isis,Temple of Prithvi (Demo 2.0),challenging,8.71,104,806,21-Jul-2022
14,Tombraider95,Without a Paddle,medium,9.62,168,1232,12-Jul-2022
15,Potter,Quarter of Evil 2 - Catacombs,medium,4.04,19,432,10-Jul-2022
16,StormChaser,Legend of the Dragon,medium,7.81,198,725,30-Jun-2022
17,J.J.S.,The True Life of Tutankhamun,challenging,8.50,123,899,26-Jun-2022
18,Mahetus,The Forbidden Place,challenging,9.75,93,1497,19-Jun-2022
19,BlackWolfTR,The Forbidden Place,challenging,9.75,93,1497,19-Jun-2022
20,Leoc1995,The Forbidden Place,challenging,9.75,93,1497,19-Jun-2022
21,ilariacroft,Essen Mysteries,easy,9.25,250,1201,17-Jun-2022
22,abbath81,The Great Pyramid - Remastered,medium,8.22,212,1110,10-Jun-2022
23,911,Seth Strikes Back (Demo),easy,8.42,69,626,03-Jun-2022
24,Sabatu,Sabatu's Tomb Raider 1,very challenging,8.97,348,1917,30-May-2022
25,Leoc1995,Folklorist Diary II - The Cursed Memories (Demo),medium,8.91,91,757,18-May-2022
26,Masked Goon,The Maria Doria Adventure,medium,8.67,130,1128,04-May-2022
27,JimmyBeon,The First Revelation (Demo),easy,6.75,51,534,03-May-2022
28,BigMedPack,City in Ruin,easy,7.04,121,548,01-May-2022
29,theGRG1999,Race against Time (Demo),medium,5.75,213,356,01-May-2022
30,IvanTRFan,The Asylum 2,challenging,8.05,201,577,01-May-2022
31,Nahomi Chan,Paper House (Demo),easy,5.22,27,316,01-May-2022
32,StormChaser,Backstreets of London,easy,7.78,205,669,01-May-2022
33,911,Angkor Vat,medium,8.41,80,807,01-May-2022
34,denis25l,The Fallen Sun,easy,2.63,331,840,15-Apr-2022
35,Sabatu,Sabatu's Tomb Raider 1 (Demo),medium,9.03,191,781,15-Apr-2022
36,Shaleigh7787,Helm of Fallen Defender,medium,4.88,184,1335,26-Mar-2022
37,Nahomi Chan,The Enchanted Palace (Demo),easy,5.43,75,927,26-Mar-2022
38,mrmoonknightandmando,Lara's bad Dream,easy,2.52,16,443,26-Mar-2022
39,ViridionSama,Tomb Raider Relic Hunter,challenging,8.75,199,2056,26-Mar-2022
40,Charles Kane,VR Training,easy,1.00,20,415,20-Mar-2022
41,Uzi Master,Tomb Raider: The Little Things - Dead of Night,challenging,8.83,97,1081,20-Mar-2022
42,Drobridski,Postmortem,easy,9.18,13,978,17-Mar-2022
43,Nicholas Bryfogle,Tomb of Hydra (Demo),medium,7.25,118,1028,14-Mar-2022
44,Neltharion,Deathwish,very challenging,8.00,106,1550,14-Mar-2022
45,Charles Kane,Rome Revisited,easy,1.44,19,463,13-Mar-2022
46,PedroCroft_,Pillars of Silence - Part 1,medium,6.96,218,1503,11-Mar-2022
47,StormChaser,Genesis Project 2,medium,8.00,259,2099,16-Feb-2022
48,OverRaider,Rainbow Land,easy,9.82,149,2110,04-Feb-2022
49,Leeloo,A snowy Walk in the Park,medium,8.74,249,2345,01-Feb-2022
50,Igor Gois,Dark Secrets beneath the Ground,challenging,7.45,128,1228,30-Jan-2022
51,MrSeanCroft,Spell of the Twelve Caves - Cavern II - Tomb of Amonthep II,medium,5.61,368,2203,25-Jan-2022
52,alan,Depths of the Arctic Ocean,medium,5.50,53,866,25-Jan-2022
53,dinne,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
54,Dreamfall,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
55,LoreRaider,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
56,Jesus C.Croft,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
57,AgentXP,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
58,DJ Full,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
59,Matie,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
60,tombraiderxii,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
61,Sponge,TR Advent Calendar 2021 - Another Winter Castle,medium,9.73,189,2828,24-Jan-2022
62,Raspicroft,In Search of Relics,easy,6.67,103,1234,15-Jan-2022
63,AgentXP,TR Advent Calendar 2021 - The Hunt for Esmeralda,easy,9.60,303,2656,31-Dec-2021
64,Jesus C.Croft,TR Advent Calendar 2021 - Another Winter City,easy,9.73,347,2984,25-Dec-2021
65,tombraiderxii,TR Advent Calendar 2021 - Another Winter City,easy,9.73,347,2984,25-Dec-2021
66,justin,TR Advent Calendar 2021 - Another Winter City,easy,9.73,347,2984,25-Dec-2021
67,Kubsy,TR Advent Calendar 2021 - Another Winter City,easy,9.73,347,2984,25-Dec-2021
68,Tcake,TR Advent Calendar 2021 - Search for Shangri-La,very challenging,7.00,111,984,23-Dec-2021
69,PedroCroft_,TR Advent Calendar 2021 - A Christmas Eve,medium,7.08,400,3864,22-Dec-2021
70,justin,TR Advent Calendar 2021 - Demon Saga - Christmas Demo,easy,8.80,254,5323,21-Dec-2021
71,MD,War of the Worlds,medium,9.76,"2,246",9066,12-Dec-2021
72,Astraf,TR Advent Calendar 2021 - Les Sons de la Nuit,easy,7.92,42,1196,04-Dec-2021
73,ViridionSama,Spear of David,challenging,8.75,133,2357,24-Nov-2021
74,Emaraider,Create a Classic 2021 - The Last Yetis,easy,7.32,65,1309,21-Nov-2021
75,Delca,Create a Classic 2021 - Fantome,challenging,9.54,147,4223,21-Nov-2021
76,Serphence,Create a Classic 2021 - Amazon Jungle,easy,3.05,307,3209,21-Nov-2021
77,BlackWolfTR,Create a Classic 2021 - Mystery of the Sunken Ship,challenging,8.53,175,2320,21-Nov-2021
78,Kubsy,Create a Classic 2021 - Venetian Night Adventure - Part 1,medium,8.42,108,1614,21-Nov-2021
79,PhryneCroft,Create a Classic 2021 - Mystery of the Opera House,easy,8.56,94,1845,21-Nov-2021
80,Cornchild,Create a Classic 2021 - Tomb Raider Iris,challenging,9.28,124,2034,21-Nov-2021
81,Die Basis,Create a Classic 2021 - Madhouse Revisited,medium,8.79,73,1564,21-Nov-2021
82,PedroCroft_,Create a Classic 2021 - The Wrecked Ship,medium,7.00,252,3102,21-Nov-2021
83,Croftyboy,Create a Classic 2021 - Castle of Triton,easy,7.81,68,1243,21-Nov-2021
84,Sabatu,Create a Classic 2021 - The City of Petra,challenging,8.39,92,1809,21-Nov-2021
85,Bigfoot,Create a Classic 2021 - Locked in the Underworld,medium,9.20,66,1918,21-Nov-2021
86,AgentXP,Create a Classic 2021 - Rome wasn't built in a Day: Part 1,medium,9.46,167,3019,21-Nov-2021
87,StormChaser,Venice at Night,medium,8.53,197,2694,20-Nov-2021
88,Sweet,Natla's Quest,challenging,8.44,259,3338,18-Nov-2021
89,Opaque79,Missing Skull,easy,6.58,31,974,13-Nov-2021
90,911,Tomb Raider 5 - Rome Hub,challenging,7.29,124,2044,08-Nov-2021
91,mugs,House of Horrors,challenging,8.75,79,2100,01-Nov-2021
92,Ruu11,Area 51 Redux,medium,8.98,122,2314,30-Oct-2021
93,Leoc1995,25 years Classic Engine Competition - Shattered Memories,challenging,9.41,122,3299,25-Oct-2021
94,BlackWolfTR,25 years Classic Engine Competition - Remnants of the Fallen Forest Kingdom,challenging,9.27,87,2276,25-Oct-2021
95,PedroCroft_,25 years Classic Engine Competition - The Railway Tunnels,medium,6.23,49,1449,25-Oct-2021
96,DroneSpencer,25 years Classic Engine Competition - Caves of Atlantis,challenging,5.42,204,2372,25-Oct-2021
97,alan,Lara's Final Adventure,easy,5.08,24,877,22-Oct-2021
98,Boleklolo,Search for the Skidoo,medium,2.94,480,4402,15-Oct-2021
99,ilariacroft,Molise Mysteries,medium,8.82,94,2055,13-Oct-2021
100,Astraf,VCI in L.A.,medium,7.95,120,1920,13-Oct-2021
101,CircusBabysGallerySL,Ayesha Erotica - Cocaine Superstar,easy,1.46,278,2631,13-Oct-2021
102,Tomo,The last Saga: Level 1 - Temko Mines,challenging,8.17,303,3615,03-Oct-2021
103,TRLE Maker,Return to the Tomb,medium,6.44,33,766,30-Sep-2021
104,Opaque79,Crash to an Accidental Discovery,easy,6.93,30,1100,24-Sep-2021
105,LOTRKingluis,Premonition,challenging,9.50,416,6648,24-Sep-2021
106,PedroCroft_,Escape from the Temple of Horus,challenging,6.54,213,2772,20-Sep-2021
107,Loch,Movement at the Monastery,challenging,9.78,626,7810,30-Aug-2021
108,Dennis De Grande,The Great Discovery - Part 1,medium,7.64,212,2855,13-Aug-2021
109,Nick21,The Mystery of the Outpost,medium,7.13,40,1167,04-Aug-2021
110,Emaraider,Bastet Temple,easy,6.79,160,2165,04-Aug-2021
111,Jose,The Lost Kingdom of Shangri-La,medium,6.39,92,1462,31-Jul-2021
112,StudBuddha,TNT II,medium,7.56,58,1215,31-Jul-2021
113,Perceiver,The Sunken City - Prologue,medium,7.50,123,1841,30-Jul-2021
114,l.m.,Legacy of Oda Nobunaga,challenging,9.71,160,3708,30-Jul-2021
115,Astraf,Ruins of the Evening Sun,medium,8.36,128,2070,25-Jul-2021
116,Mr XY,Emporia - Lost in the City (Demo),medium,9.82,65,2793,24-Jul-2021
117,Franky,Forbidden Planet,easy,6.59,252,2545,20-Jul-2021
118,Drobridski,Why do you bother,challenging,7.79,36,888,20-Jul-2021
119,Saturn,The Last Continent,challenging,6.58,150,2061,10-Jul-2021
120,Lady_Wise,Jewel of Egypt,challenging,7.94,60,1597,09-Jul-2021
121,abbath81,Resident Evil - Back to R.P.D.,medium,7.36,139,3135,08-Jul-2021
122,Delca,Kitten Adventure,medium,9.30,89,4154,04-Jul-2021
123,TRLE Maker,Temple of Tut,easy,5.55,26,812,02-Jul-2021
124,abbath81,Secret of the Skull Temple,challenging,8.86,749,7565,27-Jun-2021
125,Denny,Return to the Deck,challenging,6.39,109,1731,27-Jun-2021
126,Dennis De Grande,London Rooftops,medium,7.20,171,2378,24-Jun-2021
127,Shaleigh7787,Meow Meow Library,challenging,4.78,93,1285,19-Jun-2021
128,AgentCroft77,Home Sweet Home,easy,1.24,23,684,16-Jun-2021
129,Tombraider95,Tomb Raider - Biohazard,challenging,9.86,703,11080,12-Jun-2021
130,Drakan,Princess Lara of Persia - Guardians of the Tower,medium,9.48,103,2340,11-Jun-2021
131,XianDani,The Secret of Orion,easy,8.63,72,1432,11-Jun-2021
132,Dennis De Grande,Revisiting The Wall,medium,6.71,138,2350,02-Jun-2021
133,TRLE Maker,A Special Relic,easy,5.64,28,740,29-May-2021
134,Feder,The Fountain of Youth - Part 1,medium,9.10,61,2028,24-May-2021
135,CircusBabysGallerySL,Ayesha Erotica - Literal Legend,easy,1.05,147,1627,23-May-2021
136,Mohrruebe,Incan Ruined City - Full Adventure,very challenging,8.71,187,3021,17-May-2021
137,Danath,The Ancient Jade Mask,challenging,9.01,144,3560,11-May-2021
138,trtimes,Sanctuary of Aton,medium,6.38,44,976,10-May-2021
139,Delca,Louvre Galleries (Demo),medium,9.20,140,5360,10-May-2021
140,Franky,Inside the Destiny,medium,7.19,290,2827,05-May-2021
141,StormChaser,Aldwych Adventure,medium,8.15,248,3203,04-May-2021
142,Jonson,Trident of the Invictus,medium,8.61,96,1807,02-May-2021
143,ilariacroft,Alberobello Mysteries,challenging,8.62,185,3999,01-May-2021
144,AgentXP,ORC21 - Egyptian Adventure,medium,9.40,193,3949,27-Apr-2021
145,MrSeanCroft,Spell of the Twelve Caves - Cavern Deities,easy,6.55,100,1641,26-Apr-2021
146,Neltharion,The Dream Quest of Unknown Kadath,very challenging,7.63,617,5962,26-Apr-2021
147,Opaque79,Escape the Tomb,easy,7.13,22,1016,23-Apr-2021
148,Mordyga,ORC21 - Return to the Great Wall,medium,8.03,37,1436,22-Apr-2021
149,Leoc1995,Folklorist Diary - The Forgotten Treasure (Full Version),challenging,9.27,199,4081,19-Apr-2021
150,justin,Horizons - The Hellgate Saga,challenging,9.84,609,8278,14-Apr-2021
151,Nanaki Azakee,ORC21 - The Tower,medium,8.81,105,1645,10-Apr-2021
152,PedroCroft_,ORC21 - The Prophecies of Ta Phrom,medium,6.84,372,3748,10-Apr-2021
153,BlackWolfTR,ORC21 - The Lost Pyramid,medium,6.81,89,1414,10-Apr-2021
154,tombraiderxii,ORC21 - Poseidon's Sanctuary,challenging,9.38,43,2223,10-Apr-2021
155,piano_raider,"ORC21 - Please, don't break!",medium,7.80,61,1370,10-Apr-2021
156,DroneSpencer,ORC21 - Pandora's Legacy,medium,6.84,175,2107,10-Apr-2021
157,Zolee,ORC21 - Himalaya,easy,7.08,112,1859,10-Apr-2021
158,vandit,ORC21 - Ayutthaya - Part 2,challenging,9.17,111,2671,10-Apr-2021
159,Talos,Aspidetr Easter Time 2021 - Antas Dungeons Remake,easy,8.45,102,1465,05-Apr-2021
160,Greywolf,Aspidetr Easter Time 2021 - The Palace of the Rainbow,medium,8.83,43,1224,01-Apr-2021
161,Symo96,Vendetta (Demo),medium,8.88,127,2045,30-Mar-2021
162,Beng_Raider,ORC - Thailand,easy,2.19,209,2305,30-Mar-2021
163,BlackWolfTR,Aspidetr Easter Time 2021 - Trouble Before Easter,medium,7.61,123,1931,30-Mar-2021
164,Richard Ba,The Icy Towers,challenging,8.82,111,1767,26-Mar-2021
165,HaniHeger,Laura Cruz,easy,7.07,125,1672,26-Mar-2021
166,Franky,The Secret Base of Icarus,medium,5.38,289,3940,16-Mar-2021
167,thewolf,The Haunted Mansion,challenging,9.11,55,2882,14-Mar-2021
168,Kosmo Hankson,Silent Temple,easy,5.19,145,1856,14-Mar-2021
169,Gabriel Oliveira,Evening in Quebec,medium,8.23,87,2476,10-Mar-2021
170,Osvaldo,The Top Secret Scroll,easy,6.18,37,925,07-Mar-2021
171,Zellphie,Resident Evil Retold (Demo),,6.79,292,5377,25-Feb-2021
172,Franky,Picard vs Romulans,medium,7.34,129,2382,24-Feb-2021
173,PedroCroft_,Sanguis Virginis (Demo),medium,6.95,171,3513,24-Feb-2021
174,Astraf,Lost Spirit of the Cavemen - Remake,medium,9.23,185,4741,20-Feb-2021
175,Danilo Rocha,Tomb Raider: Resurgence,medium,8.95,232,5390,14-Feb-2021
176,Feder,Into the Depths of Space,medium,9.08,52,2143,12-Feb-2021
177,CircusBabysGallerySL,In Search of the Blue Gem,,4.44,190,3302,12-Feb-2021
178,Pablo David,Home Sweet Home,easy,1.23,46,979,12-Feb-2021
179,Pablo David,The Amulet of Horus,easy,2.22,71,1049,04-Feb-2021
180,Marcos,Goliath's Tomb,challenging,9.30,152,2399,04-Feb-2021
181,CircusBabysGallerySL,Search for the Awards,easy,2.69,67,1175,28-Jan-2021
182,Sabatu,Rebirth - Part 1,challenging,8.78,181,3359,26-Jan-2021
183,CircusBabysGallerySL,Legend: Pool Room Remake,easy,1.77,266,2792,26-Jan-2021
184,Pablo David,Natla's Return,easy,0.53,48,924,18-Jan-2021
185,Pablo David,Lara's Discovery,easy,1.35,29,833,11-Jan-2021
186,Franky,Kidnapping of Picard,,7.54,199,2145,11-Jan-2021
187,Neltharion,Queen's Castle,very challenging,7.22,172,2418,04-Jan-2021
188,BigMedPack,Legacy of Xian - Croft Manor,,6.00,205,3048,26-Dec-2020
189,Drobridski,The Millionaire Waltz,medium,8.15,31,1159,21-Dec-2020
190,Sponge,LB Advent Calendar 2020 - Crossing Paths in India,easy,7.08,27,1230,21-Dec-2020
191,Jesus C.Croft,LB Advent Calendar 2020 - Lara's busy Christmas - A Scarf Story,medium,9.76,349,5604,20-Dec-2020
192,Pablo David,Home of Lara,easy,1.09,16,789,18-Dec-2020
193,Bigfoot,LB Advent Calendar 2020 - The Scottish Countryside,medium,9.69,458,5828,18-Dec-2020
194,PhryneCroft,LB Advent Calendar 2020 - Treasure of Tornarsuk,challenging,9.05,132,2183,15-Dec-2020
195,Ranpyon,LB Advent Calendar 2020 - Silent Town,easy,9.31,85,2861,13-Dec-2020
196,MrSeanCroft,Tomb Raider: Captured,easy,2.52,105,1760,11-Dec-2020
197,tombraiderxii,LB Advent Calendar 2020 - Marooned,challenging,8.69,52,1337,10-Dec-2020
198,Astraf,LB Advent Calendar 2020 - Golden Memories,medium,7.97,89,1736,03-Dec-2020
199,Pablo David,Egypt Return,easy,1.23,23,839,03-Dec-2020
200,OverRaider,Shadow of Darkness,challenging,9.80,110,5292,30-Nov-2020
201,BlackWolfTR,Mystery of Mystical Fluids,medium,7.25,173,2307,30-Nov-2020
202,Niveus,TRLE 20th Anniversary Celebration Project: Legend of Hathor,challenging,9.44,165,4799,25-Nov-2020
203,Zreen,TRLE 20th Anniversary Celebration Project: Legend of Hathor,challenging,9.44,165,4799,25-Nov-2020
204,Dermahn,TRLE 20th Anniversary Celebration Project: Legend of Hathor,challenging,9.44,165,4799,25-Nov-2020
205,Sabatu,TRLE 20th Anniversary Celebration Project: Legend of Hathor,challenging,9.44,165,4799,25-Nov-2020
206,DJ Full,TRLE 20th Anniversary Celebration Project: Legend of Hathor,challenging,9.44,165,4799,25-Nov-2020
207,Klona,TRLE 20th Anniversary Celebration Project: Legend of Hathor,challenging,9.44,165,4799,25-Nov-2020
208,Pablo David,The Hidden Pyramid,easy,0.89,33,902,23-Nov-2020
209,Neltharion,Deviation,very challenging,6.40,209,2465,23-Nov-2020
210,Astraf,Examination of the Sphinx,medium,8.80,164,2671,18-Nov-2020
211,Osvaldo,The Valley Temple,medium,7.64,68,1499,03-Nov-2020
212,PinkFlav0r,Searching for Cleopatras Tomb - Part 1,easy,4.31,61,1057,01-Nov-2020
213,StudBuddha,TNT,easy,7.38,50,1250,21-Oct-2020
214,StormChaser,Northwest Pacific Adventure,easy,7.91,171,2745,21-Oct-2020
215,DaroRaider,Create a Classic 2019 (Unreleased): Willard's Hideout,challenging,8.13,53,1614,19-Oct-2020
216,Mahetus,The Mystic Artefact - Part 1,medium,8.18,119,2132,19-Oct-2020
217,Drobridski,Homage for Satan,challenging,5.64,5,846,15-Oct-2020
218,Dennis De Grande,A Trip to the South,medium,7.68,163,3429,08-Oct-2020
219,Franky,The 13th Planet,,8.06,219,2475,08-Oct-2020
220,Opaque79,Fire Caves,medium,7.77,21,1160,06-Oct-2020
221,PedroCroft_,Myths of Genghis Khan (Demo),challenging,6.58,165,2143,05-Oct-2020
222,Neltharion,Ice Carbon Chaos,,6.14,64,1210,05-Oct-2020
223,Alex Chap,Lara at the Games - Kula World,challenging,9.47,125,2846,05-Oct-2020
224,PinkFlav0r,Catacombs Escape,easy,4.88,81,1209,05-Oct-2020
225,Astraf,City of the Damned,medium,7.81,107,1730,05-Oct-2020
226,Sabatu,The Lost Emperor,challenging,8.77,211,4678,28-Sep-2020
227,Dennis De Grande,The Colosseum,medium,7.60,87,2258,23-Sep-2020
228,Astraf,Escaping the Werewolf,,6.91,67,1285,18-Sep-2020
229,nerdfury,Equanimity,challenging,9.14,48,1739,12-Sep-2020
230,AngelOfDarkness,The Kurtis Trent Chronicles: Chapter 1,medium,9.26,154,3059,12-Sep-2020
231,Sabatu,Create a Classic 2019 (Unreleased)- Lost Ruins of Atlantis,challenging,8.82,184,3190,05-Sep-2020
232,Masked Goon,Return to the Maria Doria,,7.96,57,2034,31-Aug-2020
233,Drobridski,Zeitgeist,medium,7.39,54,1431,31-Aug-2020
234,StormChaser,South Pacific Adventure,easy,7.65,170,2516,25-Aug-2020
235,Leoc1995,Folklorist Diary - The Forgotten Treasure (Demo),easy,8.63,88,1812,24-Aug-2020
236,GMac,Lara of Light,medium,8.79,208,3331,21-Aug-2020
237,abbath81,Frozen Tower,challenging,6.87,51,1287,21-Aug-2020
238,Neltharion,Dream Quest (Demo),,5.68,108,1521,17-Aug-2020
239,ggctuk,Tomb Raider Unfinished Business - Egypt Episode,,8.15,136,2254,17-Aug-2020
240,Dennis De Grande,Revisited Ireland,easy,5.81,24,1225,13-Aug-2020
241,Astraf,A Lost Oath,easy,7.25,92,1750,11-Aug-2020
242,Osvaldo,Chambers of Tinnos,medium,7.94,55,1379,08-Aug-2020
243,Neltharion,Ice Carbon Dimension,easy,6.56,51,1121,31-Jul-2020
244,BlackWolfTR,The Coastal Town,easy,4.91,26,985,31-Jul-2020
245,Naxheel,Turin Incident (Complete Version),,7.86,265,3259,21-Jul-2020
246,LionGirl_90,Sunrise,challenging,7.30,36,1228,21-Jul-2020
247,StudBuddha,Square,easy,1.37,55,1060,21-Jul-2020
248,Uzi Master,Tomb Raider: The Little Things - Hijacked!,challenging,8.36,33,1524,20-Jul-2020
249,Astraf,Castle of the Moon,easy,7.88,40,1421,13-Jul-2020
250,nusretsirin,The Legend of Ka'ni Rean Vol.1,,7.75,86,1690,10-Jul-2020
251,Neltharion,Underworld Pit,challenging,7.02,39,1142,06-Jul-2020
252,Astraf,Military Headquarters,easy,7.62,89,1732,03-Jul-2020
253,Leoc1995,Folklorist Diary - Gold Edition,medium,7.88,24,1666,01-Jul-2020
254,Colin Benson,Temple of Bastet,,7.59,42,1197,30-Jun-2020
255,Opaque79,Lara's Capture,easy,6.33,23,966,29-Jun-2020
256,Drobridski,Evilution,easy,6.20,14,949,29-Jun-2020
257,Neltharion,Ice Carbon Temple,medium,6.58,40,908,29-Jun-2020
258,Melvin Hall,A Day in the Life,,8.19,59,2064,22-Jun-2020
259,Ruu11,Lara's Nightmare Remake,easy,8.33,77,2379,18-Jun-2020
260,LionGirl_90,Indian Summer Adventure,,5.22,37,1078,18-Jun-2020
261,Drobridski,"Satan Spawn, The Caco-Demon",medium,1.14,17,835,15-Jun-2020
262,Bigfoot,BtB2020 - The Beheaded Mountain,medium,9.08,121,1799,14-Jun-2020
263,LaraCablara,BtB2020 - The Lost Monastery,easy,8.43,103,851,14-Jun-2020
264,Drakan,BtB2020 - The Dharma Jewel,,8.36,112,648,14-Jun-2020
265,illyaine,BtB2020 - Shigatse Stone,easy,7.31,94,683,14-Jun-2020
266,Tombraider95,BtB2020 - A Debt in Tibet,,9.13,146,1288,14-Jun-2020
267,JesseG,BtB2020 - Save the Cintamani,,7.91,134,605,14-Jun-2020
268,Adriel,BtB2020 - Nest of the Souls,challenging,9.22,129,943,14-Jun-2020
269,Matie,BtB2020 - A Matter of Life and Death,medium,9.34,167,1501,14-Jun-2020
270,Die Basis,BtB2020 - Big Trouble in Little Tibet,medium,8.50,126,645,14-Jun-2020
271,Tolle87,BtB2020 - Beyond the Caves of Nyalam,,8.86,143,663,14-Jun-2020
272,constantine,BtB2020 - Manjushri's Sword,,7.07,109,504,14-Jun-2020
273,Adngel,BtB2020 - Dolma's Fortress,,8.08,124,584,14-Jun-2020
274,LoreRaider,BtB2020 - The Forgotten Sealed Masks,,9.29,151,1029,14-Jun-2020
275,dinne,BtB2020 - The Holy Shell,,9.10,141,789,14-Jun-2020
276,AgentXP,BtB2020 - Garden of the Four Seasons,challenging,9.73,197,2909,14-Jun-2020
277,IvanTRFan,BtB2020 - Beyond the Sky,medium,8.01,111,993,14-Jun-2020
278,Larysuh13,Ancient Temple Remake,,7.08,79,1109,11-Jun-2020
279,Franky,Enterprise,medium,7.53,164,2082,07-Jun-2020
280,Sabatu,Mount Parnassus - Palace of Pericles,medium,8.91,121,2983,05-Jun-2020
281,Indycatalan,Maya Ruins,,4.61,41,961,02-Jun-2020
282,Feder,Nightmare in China,medium,8.93,22,2288,02-Jun-2020
283,Astraf,Lost Spirit of the Cavemen,easy,6.32,93,1553,01-Jun-2020
284,Larysuh13,Tomb Raider Chronicles - Memories - Part 1,,7.04,37,1247,29-May-2020
285,Lady_Wise,Winston's Lost Watch,easy,7.73,132,2363,28-May-2020
286,Opaque79,Temple of Danger II,medium,7.65,20,1503,27-May-2020
287,Astraf,Beach House of a Friend,,7.50,78,1663,26-May-2020
288,StormChaser,Melnikov Island,,7.82,224,3127,19-May-2020
289,Osvaldo,The Lost Amulet,challenging,6.00,65,1274,18-May-2020
290,tombraider1703,The Sanctuary of Light - Part 1,challenging,8.48,144,2383,18-May-2020
291,Drobridski,Plum Uncle,medium,4.97,29,1066,11-May-2020
292,StudBuddha,Temple of the Dog,,8.17,79,1574,11-May-2020
293,Larysuh13,Seth's Revenge 1 & 2,,5.29,190,1619,28-Apr-2020
294,Feder,Nordic Adventure,medium,9.48,104,5202,28-Apr-2020
295,Neltharion,The Garden of Forking Paths,easy,5.15,35,1061,27-Apr-2020
296,Lady_Wise,Search for the Hidden Stone,easy,8.23,157,3092,14-Apr-2020
297,Sponge,Aspidetr Easter Time 2020 - Five by Five,easy,8.23,32,1522,13-Apr-2020
298,Greywolf,Aspidetr Easter Time 2020 - Bunny Town,medium,8.13,48,1564,12-Apr-2020
299,StudBuddha,The Hallows Guarded Hideout,,8.13,85,1791,06-Apr-2020
300,Franco Bula,The Pagan Reaction - Chapter 1,,5.88,98,2025,25-Mar-2020
301,Thierry  Stoorne,The Templar Treasure - Part 1,,8.93,277,5392,20-Mar-2020
302,Raildex,Temple Ruins,,7.84,25,1975,20-Mar-2020
303,Lara_Fox_Croft,Search for the Golden Elephant - Part 3 (Demo),medium,9.32,295,3089,16-Feb-2020
304,abbath81,Resident Evil - The Mansion Incident,easy,6.59,159,3861,14-Feb-2020
305,alan,Bartoli's Return,,4.90,37,1664,07-Feb-2020
306,Franky,Lara against the Borg - Part 2,,7.21,129,1973,04-Feb-2020
307,O-eight,Cold Friends,medium,7.13,55,1663,30-Jan-2020
308,abbath81,The Great Pyramid,challenging,7.22,172,3549,07-Jan-2020
309,MBog,Pierre's Christmas Adventure,easy,7.02,57,1713,31-Dec-2019
310,alan,The Deadly Cave,easy,5.10,14,1359,31-Dec-2019
311,Feder,Franco Bula's Searching For The Savegame Crystal Remake,medium,8.44,34,2190,31-Dec-2019
312,Naxheel,Turin Incident,,7.67,361,4247,28-Dec-2019
313,LoreRaider,LB Advent Calendar 2019 - Christmas in Seville,easy,9.52,91,4704,24-Dec-2019
314,Jesus C.Croft,LB Advent Calendar 2019 - Christmas in Seville,easy,9.52,91,4704,24-Dec-2019
315,AgentXP,LB Advent Calendar 2019 - Christmas in Seville,easy,9.52,91,4704,24-Dec-2019
316,DJ Full,LB Advent Calendar 2019 - Christmas in Seville,easy,9.52,91,4704,24-Dec-2019
317,tombraiderxii,LB Advent Calendar 2019 - Christmas in Seville,easy,9.52,91,4704,24-Dec-2019
318,Sponge,LB Advent Calendar 2019 - Christmas in Seville,easy,9.52,91,4704,24-Dec-2019
319,AgentXP,LB Advent Calendar 2019 - Christmas in Prague,medium,9.85,177,5101,21-Dec-2019
320,Mehrbod,The Lost Secret of Egypt,very challenging,7.25,"1,761",18146,18-Dec-2019
